type,id,status,description,amount,account,balance,direction,class,institution,connection,transactionDate,postDate,subClass,day,month,year
transaction,6ba3dd59-4268-419d-b5aa-49df88c11c71,posted,Funds Transfer Transfer,3001,070c1d68-0ee0-477a-9679-294ea7059939,19947.26,credit,transfer,AU00000,1bd6c08e-8457-4a74-bdd9-514df489d27e,13-07-2023 00:00,2023-07-13T00:00:00Z,Auxiliary Finance and Investment Services,13,7,2023
transaction,7d9413b0-694f-4b62-aac9-c178a6f069c6,posted,Manly Maths Tutor Wages,201,070c1d68-0ee0-477a-9679-294ea7059939,16946.26,credit,transfer,AU00000,1bd6c08e-8457-4a74-bdd9-514df489d27e,13-07-2023 00:00,2023-07-13T00:00:00Z,Educational Support Services,13,7,2023
transaction,4f3bb9a5-9597-4d71-80db-fae35b70edcd,posted,TFR Acc14000 TO 12389,-500,070c1d68-0ee0-477a-9679-294ea7059939,16745.26,debit,payment,AU00000,1bd6c08e-8457-4a74-bdd9-514df489d27e,12-07-2023 00:00,2023-07-12T00:00:00Z,Legal and Accounting Services,12,7,2023
transaction,9cf8a7ac-0e8b-4699-81e6-98181bdf18cf,posted,AGL RETAIL ENERGY LTD (GAS),-78,070c1d68-0ee0-477a-9679-294ea7059939,17245.26,debit,payment,AU00000,1bd6c08e-8457-4a74-bdd9-514df489d27e,09-07-2023 00:00,2023-07-09T00:00:00Z,Electricity Distribution,9,7,2023
transaction,d5a36da2-5b9f-4dbf-aa95-eb518d163f0f,posted,Wdl ATM CBA ATM  SEAFORTH       NSW 225101   AUS,-750,070c1d68-0ee0-477a-9679-294ea7059939,17323.26,debit,cash-withdrawal,AU00000,1bd6c08e-8457-4a74-bdd9-514df489d27e,03-07-2023 00:00,2023-07-03T00:00:00Z,cash-withdrawal,3,7,2023
transaction,70aa3766-93eb-4da6-ab69-299b16507794,posted,Transfer Platnm Homeloan 346454,-3860,070c1d68-0ee0-477a-9679-294ea7059939,18073.26,debit,payment,AU00000,1bd6c08e-8457-4a74-bdd9-514df489d27e,28-06-2023 00:00,2023-06-28T00:00:00Z,Auxiliary Finance and Investment Services,28,6,2023
transaction,6b8f916b-3317-4a5a-818b-82b008f67d84,posted,TFR From Transaction to CC Acc 13,-9398.5,070c1d68-0ee0-477a-9679-294ea7059939,21933.26,debit,payment,AU00000,1bd6c08e-8457-4a74-bdd9-514df489d27e,27-06-2023 00:00,2023-06-27T00:00:00Z,Professional and Other Interest Group Services,27,6,2023
transaction,7dbf9e0f-e172-4474-9427-69fbb2d46752,posted,Payroll WFRMS 15439393,17098,070c1d68-0ee0-477a-9679-294ea7059939,31331.76,credit,transfer,AU00000,1bd6c08e-8457-4a74-bdd9-514df489d27e,27-06-2023 00:00,2023-06-27T00:00:00Z,Payroll WFRMS 15439393,27,6,2023
transaction,d4f55027-9c2f-4288-8580-0969738f4d78,posted,CTRLINK CARERS Ref: 998R6789201610974V,19.6,070c1d68-0ee0-477a-9679-294ea7059939,14233.76,credit,transfer,AU00000,1bd6c08e-8457-4a74-bdd9-514df489d27e,22-06-2023 00:00,2023-06-22T00:00:00Z,CTRLINK CARERS Ref: 998R6789201610974V,22,6,2023
transaction,e24adcd4-4a91-4a0e-bc57-48256635e051,posted,Manly Maths Tutor Wages,201,070c1d68-0ee0-477a-9679-294ea7059939,14214.16,credit,transfer,AU00000,1bd6c08e-8457-4a74-bdd9-514df489d27e,19-06-2023 00:00,2023-06-19T00:00:00Z,Educational Support Services,19,6,2023
transaction,a5fd3de7-1d3b-44e9-8821-d01dc852a0d7,posted,MANLY WEST SCHOOL,-1422.2,070c1d68-0ee0-477a-9679-294ea7059939,14013.16,debit,payment,AU00000,1bd6c08e-8457-4a74-bdd9-514df489d27e,19-06-2023 00:00,2023-06-18T00:00:00Z,School Education,19,6,2023
transaction,358ed9c0-46c0-486e-bedc-fe05cb2d7030,posted,MANLY WEST SCHOOL,-51,070c1d68-0ee0-477a-9679-294ea7059939,15435.36,debit,payment,AU00000,1bd6c08e-8457-4a74-bdd9-514df489d27e,18-06-2023 00:00,2023-06-18T00:00:00Z,School Education,18,6,2023
transaction,7aa1234e-4132-4dcb-8cd2-c2adeeb43891,posted,Manly Maths Tutor Wages,201,070c1d68-0ee0-477a-9679-294ea7059939,15486.36,credit,transfer,AU00000,1bd6c08e-8457-4a74-bdd9-514df489d27e,15-06-2023 00:00,2023-06-15T00:00:00Z,Educational Support Services,15,6,2023
transaction,793923f1-00e1-4181-b518-13feac5adca9,posted,TFR Acc14000 TO 12389,-500,070c1d68-0ee0-477a-9679-294ea7059939,15285.36,debit,payment,AU00000,1bd6c08e-8457-4a74-bdd9-514df489d27e,14-06-2023 00:00,2023-06-14T00:00:00Z,Legal and Accounting Services,14,6,2023
transaction,305aba74-a09e-470d-9079-f386936b08b8,posted,AGL RETAIL ENERGY LTD (GAS),-78,070c1d68-0ee0-477a-9679-294ea7059939,15785.36,debit,payment,AU00000,1bd6c08e-8457-4a74-bdd9-514df489d27e,11-06-2023 00:00,2023-06-11T00:00:00Z,Electricity Distribution,11,6,2023
transaction,32f52553-c38d-473f-994d-3e6dcf949268,posted,CTRLINK CARERS Ref: 998R6789201610974V,26,070c1d68-0ee0-477a-9679-294ea7059939,15863.36,credit,transfer,AU00000,1bd6c08e-8457-4a74-bdd9-514df489d27e,01-06-2023 00:00,2023-06-01T00:00:00Z,CTRLINK CARERS Ref: 998R6789201610974V,1,6,2023
transaction,78a8f7f6-5978-4985-a3d8-66f01838978c,posted,Transfer Platnm Homeloan 346454,-3867.5,070c1d68-0ee0-477a-9679-294ea7059939,15837.36,debit,payment,AU00000,1bd6c08e-8457-4a74-bdd9-514df489d27e,31-05-2023 00:00,2023-05-31T00:00:00Z,Auxiliary Finance and Investment Services,31,5,2023
transaction,0b31ba00-2629-49d0-b5a3-ff18398efc7a,posted,TFR From Transaction to CC Acc 13,-9391,070c1d68-0ee0-477a-9679-294ea7059939,19704.86,debit,payment,AU00000,1bd6c08e-8457-4a74-bdd9-514df489d27e,30-05-2023 00:00,2023-05-30T00:00:00Z,Professional and Other Interest Group Services,30,5,2023
transaction,d5944ba8-8211-4036-a412-aa25def5c61f,posted,Payroll WFRMS 15439393,17098,070c1d68-0ee0-477a-9679-294ea7059939,29095.86,credit,transfer,AU00000,1bd6c08e-8457-4a74-bdd9-514df489d27e,30-05-2023 00:00,2023-05-30T00:00:00Z,Payroll WFRMS 15439393,30,5,2023
transaction,1fe000a0-ccc3-4752-9fbc-f939a9473300,posted,MANLY WEST SCHOOL,-20,070c1d68-0ee0-477a-9679-294ea7059939,11997.86,debit,payment,AU00000,1bd6c08e-8457-4a74-bdd9-514df489d27e,28-05-2023 00:00,2023-05-28T00:00:00Z,School Education,28,5,2023
transaction,5564eeb5-2aad-49ac-93bc-93d0c78c4ebc,posted,AGL RETAIL ENERGY LTD (GAS),-384.5,070c1d68-0ee0-477a-9679-294ea7059939,12017.86,debit,payment,AU00000,1bd6c08e-8457-4a74-bdd9-514df489d27e,22-05-2023 00:00,2023-05-22T00:00:00Z,Electricity Distribution,22,5,2023
transaction,e50bf6c2-6ab1-4005-8c2e-590221581418,posted,AGL RETAIL ENERGY LTD,-186.79,070c1d68-0ee0-477a-9679-294ea7059939,12402.36,debit,payment,AU00000,1bd6c08e-8457-4a74-bdd9-514df489d27e,22-05-2023 00:00,2023-05-22T00:00:00Z,Electricity Distribution,22,5,2023
transaction,3447238a-2fdb-4ece-80d3-64a1eb9b9324,posted,Funds Transfer transfer,3001,070c1d68-0ee0-477a-9679-294ea7059939,12589.15,credit,transfer,AU00000,1bd6c08e-8457-4a74-bdd9-514df489d27e,22-05-2023 00:00,2023-05-22T00:00:00Z,Auxiliary Finance and Investment Services,22,5,2023
transaction,205e2a5b-dcd1-4fbe-8375-9d25a0366697,posted,TFR Acc14000 TO 12389,-500,070c1d68-0ee0-477a-9679-294ea7059939,9588.15,debit,payment,AU00000,1bd6c08e-8457-4a74-bdd9-514df489d27e,14-05-2023 00:00,2023-05-14T00:00:00Z,Legal and Accounting Services,14,5,2023
transaction,b82187ad-dfcd-4d03-ada2-c0675dd270c4,posted,Funds Transfer topup,1301,070c1d68-0ee0-477a-9679-294ea7059939,10088.15,credit,transfer,AU00000,1bd6c08e-8457-4a74-bdd9-514df489d27e,11-05-2023 00:00,2023-05-11T00:00:00Z,Telecommunications Services,11,5,2023
transaction,2f18608b-d9ec-4f7c-aab1-4d3ef53fe4d8,posted,AGL RETAIL ENERGY LTD (GAS),-78,070c1d68-0ee0-477a-9679-294ea7059939,8787.15,debit,payment,AU00000,1bd6c08e-8457-4a74-bdd9-514df489d27e,10-05-2023 00:00,2023-05-10T00:00:00Z,Electricity Distribution,10,5,2023
transaction,51ce8653-b79f-4047-a20f-5829d53e9a34,posted,Transfer Platnm Homeloan 346454,-3875,070c1d68-0ee0-477a-9679-294ea7059939,8865.15,debit,payment,AU00000,1bd6c08e-8457-4a74-bdd9-514df489d27e,30-04-2023 00:00,2023-04-30T00:00:00Z,Auxiliary Finance and Investment Services,30,4,2023
transaction,650ee7e3-59fb-4c4e-aba8-f061b15c96d5,posted,TFR From Transaction to CC Acc 13,-9383.5,070c1d68-0ee0-477a-9679-294ea7059939,12740.15,debit,payment,AU00000,1bd6c08e-8457-4a74-bdd9-514df489d27e,29-04-2023 00:00,2023-04-29T00:00:00Z,Professional and Other Interest Group Services,29,4,2023
transaction,c88e1126-3e99-40fc-b733-d2c71cc15b8b,posted,Payroll WFRMS 15439393,17098,070c1d68-0ee0-477a-9679-294ea7059939,22123.65,credit,transfer,AU00000,1bd6c08e-8457-4a74-bdd9-514df489d27e,29-04-2023 00:00,2023-04-29T00:00:00Z,Payroll WFRMS 15439393,29,4,2023
transaction,536e0439-f9e1-4ebc-a256-22565dd19afc,posted,Manly Maths Tutor Wages,201,070c1d68-0ee0-477a-9679-294ea7059939,5025.65,credit,transfer,AU00000,1bd6c08e-8457-4a74-bdd9-514df489d27e,14-04-2023 00:00,2023-04-14T00:00:00Z,Educational Support Services,14,4,2023
transaction,6e7b9ddc-f5f0-4a33-ab7f-82198378e043,posted,TFR Acc14000 TO 12389,-500,070c1d68-0ee0-477a-9679-294ea7059939,4824.65,debit,payment,AU00000,1bd6c08e-8457-4a74-bdd9-514df489d27e,13-04-2023 00:00,2023-04-13T00:00:00Z,Legal and Accounting Services,13,4,2023
transaction,5267154d-9096-4e8b-9b43-8f8072fb0882,posted,AGL RETAIL LTD 005473584884,-78,070c1d68-0ee0-477a-9679-294ea7059939,5324.65,debit,payment,AU00000,1bd6c08e-8457-4a74-bdd9-514df489d27e,09-04-2023 00:00,2023-04-09T00:00:00Z,Electricity Distribution,9,4,2023
transaction,ee7de86b-39f3-4cbf-b2e7-f20e1d46f841,posted,Wdl ATM WESTPAC IGA BALGOWLAH  BALGOWL        AU,-200,070c1d68-0ee0-477a-9679-294ea7059939,5402.65,debit,cash-withdrawal,AU00000,1bd6c08e-8457-4a74-bdd9-514df489d27e,07-04-2023 00:00,2023-04-07T00:00:00Z,cash-withdrawal,7,4,2023
transaction,5fa9e625-332c-476a-88d1-5f930f074177,posted,Non Hooli ATM Withdrawal Fee,-2.5,070c1d68-0ee0-477a-9679-294ea7059939,5602.65,debit,bank-fee,AU00000,1bd6c08e-8457-4a74-bdd9-514df489d27e,07-04-2023 00:00,2023-04-07T00:00:00Z,bank-fee,7,4,2023
transaction,ee7de86b-39f3-4cbf-b2e7-f20e1d46f841,posted,Wdl ATM WESTPAC IGA BALGOWLAH  BALGOWL        AU,-200,070c1d68-0ee0-477a-9679-294ea7059939,5402.65,debit,cash-withdrawal,AU00000,1bd6c08e-8457-4a74-bdd9-514df489d27e,07-04-2023 00:00,2023-04-07T00:00:00Z,cash-withdrawal,7,4,2023
transaction,5fa9e625-332c-476a-88d1-5f930f074177,posted,Non Hooli ATM Withdrawal Fee,-2.5,070c1d68-0ee0-477a-9679-294ea7059939,5602.65,debit,bank-fee,AU00000,1bd6c08e-8457-4a74-bdd9-514df489d27e,07-04-2023 00:00,2023-04-07T00:00:00Z,bank-fee,7,4,2023
transaction,ee7de86b-39f3-4cbf-b2e7-f20e1d46f841,posted,Wdl ATM WESTPAC IGA BALGOWLAH  BALGOWL        AU,-200,070c1d68-0ee0-477a-9679-294ea7059939,5402.65,debit,cash-withdrawal,AU00000,1bd6c08e-8457-4a74-bdd9-514df489d27e,07-04-2023 00:00,2023-04-07T00:00:00Z,cash-withdrawal,7,4,2023
transaction,5fa9e625-332c-476a-88d1-5f930f074177,posted,Non Hooli ATM Withdrawal Fee,-2.5,070c1d68-0ee0-477a-9679-294ea7059939,5602.65,debit,bank-fee,AU00000,1bd6c08e-8457-4a74-bdd9-514df489d27e,07-04-2023 00:00,2023-04-07T00:00:00Z,bank-fee,7,4,2023
transaction,f3470ce7-8fc9-42c6-8205-53cc78215d99,posted,AGL RETAIL ENERGY LTD (GAS),-18.22,070c1d68-0ee0-477a-9679-294ea7059939,6010.15,debit,payment,AU00000,1bd6c08e-8457-4a74-bdd9-514df489d27e,06-04-2023 00:00,2023-04-06T00:00:00Z,Electricity Distribution,6,4,2023
transaction,3c68c201-c670-417e-a55a-d9ac0b05bd20,posted,Wdl ATM WESTPAC IGA BALGOWLAH  BALGOWL        AU,-450,070c1d68-0ee0-477a-9679-294ea7059939,6028.37,debit,cash-withdrawal,AU00000,1bd6c08e-8457-4a74-bdd9-514df489d27e,04-04-2023 00:00,2023-04-04T00:00:00Z,cash-withdrawal,4,4,2023
transaction,986c390f-7251-45f1-b359-a1b6c3c6de60,posted,Non Hooli ATM Withdrawal Fee,-2.5,070c1d68-0ee0-477a-9679-294ea7059939,6478.37,debit,bank-fee,AU00000,1bd6c08e-8457-4a74-bdd9-514df489d27e,04-04-2023 00:00,2023-04-04T00:00:00Z,bank-fee,4,4,2023
transaction,3b3deb96-19b0-4e87-b177-586cad15bff7,posted,Wdl ATM WESTPAC IGA BALGOWLAH  BALGOWL        AU,-300,070c1d68-0ee0-477a-9679-294ea7059939,6480.87,debit,cash-withdrawal,AU00000,1bd6c08e-8457-4a74-bdd9-514df489d27e,04-04-2023 00:00,2023-04-04T00:00:00Z,cash-withdrawal,4,4,2023
transaction,3b3deb96-19b0-4e87-b177-586cad15bff7,posted,Wdl ATM WESTPAC IGA BALGOWLAH  BALGOWL        AU,-300,070c1d68-0ee0-477a-9679-294ea7059939,6480.87,debit,cash-withdrawal,AU00000,1bd6c08e-8457-4a74-bdd9-514df489d27e,04-04-2033 00:00,2023-04-04T00:00:00Z,cash-withdrawal,4,4,2033
transaction,b8f96f64-c37b-41ae-8270-c9a48cf9109e,posted,Non Hooli ATM Withdrawal Fee,-2.5,070c1d68-0ee0-477a-9679-294ea7059939,6780.87,debit,bank-fee,AU00000,1bd6c08e-8457-4a74-bdd9-514df489d27e,04-04-2023 00:00,2023-04-04T00:00:00Z,bank-fee,4,4,2023
transaction,cf105523-0ffc-41ba-b213-94c65d5b34d1,posted,Wdl ATM CBA ATM  BALGOWLAH A    NSW 210901   AUS,-200,070c1d68-0ee0-477a-9679-294ea7059939,6783.37,debit,cash-withdrawal,AU00000,1bd6c08e-8457-4a74-bdd9-514df489d27e,04-04-2023 00:00,2023-04-04T00:00:00Z,cash-withdrawal,4,4,2023
transaction,188b6447-9cee-48e8-865d-1020d6e804c1,posted,Transfer Platnm Homeloan 346454,-3882.5,070c1d68-0ee0-477a-9679-294ea7059939,6983.37,debit,payment,AU00000,1bd6c08e-8457-4a74-bdd9-514df489d27e,30-03-2023 00:00,2023-03-30T00:00:00Z,Auxiliary Finance and Investment Services,30,3,2023
transaction,ae019070-fd2f-4fa0-b34f-c1a6acb61bd7,posted,TFR From Transaction to CC Acc 13,-9376,070c1d68-0ee0-477a-9679-294ea7059939,10865.87,debit,payment,AU00000,1bd6c08e-8457-4a74-bdd9-514df489d27e,29-03-2023 00:00,2023-03-29T00:00:00Z,Professional and Other Interest Group Services,29,3,2023
transaction,11f9508d-cf0e-48c7-b0d6-30248995ed64,posted,Payroll WFRMS 15439393,17098,070c1d68-0ee0-477a-9679-294ea7059939,20241.87,credit,transfer,AU00000,1bd6c08e-8457-4a74-bdd9-514df489d27e,29-03-2023 00:00,2023-03-29T00:00:00Z,Payroll WFRMS 15439393,29,3,2023
transaction,5fa7efe5-6c42-49fb-bc99-6fc0b1557826,posted,Manly Maths Tutor Wages,201,070c1d68-0ee0-477a-9679-294ea7059939,3143.87,credit,transfer,AU00000,1bd6c08e-8457-4a74-bdd9-514df489d27e,19-03-2023 00:00,2023-03-19T00:00:00Z,Educational Support Services,19,3,2023
transaction,83536773-a3a6-4555-82f9-33f958233f0a,posted,MANLY WEST SCHOOL,-2530.81,070c1d68-0ee0-477a-9679-294ea7059939,2942.87,debit,payment,AU00000,1bd6c08e-8457-4a74-bdd9-514df489d27e,17-03-2023 00:00,2023-03-17T00:00:00Z,School Education,17,3,2023
transaction,e78643d6-4029-4c7b-be92-7d2e0b864b0e,posted,MANLY WEST SCHOOL,-101,070c1d68-0ee0-477a-9679-294ea7059939,5473.68,debit,payment,AU00000,1bd6c08e-8457-4a74-bdd9-514df489d27e,17-03-2023 00:00,2023-03-17T00:00:00Z,School Education,17,3,2023
transaction,4baf3412-5b84-4610-8748-2279e7ec9f3e,posted,Manly Maths Tutor Wages,201,070c1d68-0ee0-477a-9679-294ea7059939,5574.68,credit,transfer,AU00000,1bd6c08e-8457-4a74-bdd9-514df489d27e,15-03-2023 00:00,2023-03-15T00:00:00Z,Educational Support Services,15,3,2023
transaction,f6d88111-52f6-4458-8cd0-86645a04fb6f,posted,Wdl ATM CBA ATM  MANLY D        NSW 219704   AUS,-420,070c1d68-0ee0-477a-9679-294ea7059939,5373.68,debit,cash-withdrawal,AU00000,1bd6c08e-8457-4a74-bdd9-514df489d27e,14-03-2023 00:00,2023-03-14T00:00:00Z,cash-withdrawal,14,3,2023
transaction,f5848553-2d3a-4832-bcff-033ec1365669,posted,TFR Acc14000 TO 12389,-500,070c1d68-0ee0-477a-9679-294ea7059939,5793.68,debit,payment,AU00000,1bd6c08e-8457-4a74-bdd9-514df489d27e,14-03-2023 00:00,2023-03-14T00:00:00Z,Legal and Accounting Services,14,3,2023
transaction,71db7860-ba64-4da1-99c0-2f0c6007266b,posted,AGL RETAIL ENERGY LTD (GAS),-95,070c1d68-0ee0-477a-9679-294ea7059939,6293.68,debit,payment,AU00000,1bd6c08e-8457-4a74-bdd9-514df489d27e,13-03-2023 00:00,2023-03-13T00:00:00Z,Electricity Distribution,13,3,2023
transaction,9da8b932-0fe7-44be-9325-fbab17790e48,posted,AGL RETAIL ENERGY LTD (GAS),-78,070c1d68-0ee0-477a-9679-294ea7059939,6388.68,debit,payment,AU00000,1bd6c08e-8457-4a74-bdd9-514df489d27e,13-03-2023 00:00,2023-03-13T00:00:00Z,Electricity Distribution,13,3,2023
transaction,ed597d14-0d6b-4be7-b6c7-54792ead565f,posted,AGL RETAIL ENERGY LTD (GAS),-95,070c1d68-0ee0-477a-9679-294ea7059939,6466.68,debit,payment,AU00000,1bd6c08e-8457-4a74-bdd9-514df489d27e,12-03-2023 00:00,2023-03-12T00:00:00Z,Electricity Distribution,12,3,2023
transaction,0d5bf67f-3b32-4063-b78f-9d7e3d1d47e2,posted,AGL RETAIL ENERGY LTD (GAS),-78,070c1d68-0ee0-477a-9679-294ea7059939,6561.68,debit,payment,AU00000,1bd6c08e-8457-4a74-bdd9-514df489d27e,12-03-2023 00:00,2023-03-12T00:00:00Z,Electricity Distribution,12,3,2023
transaction,fca582af-f723-48c9-9713-b1dbb0cae56f,posted,Wdl ATM WESTPAC IGA BALGOWLAH  BALGOWL        AU,-350,070c1d68-0ee0-477a-9679-294ea7059939,6639.68,debit,cash-withdrawal,AU00000,1bd6c08e-8457-4a74-bdd9-514df489d27e,05-03-2023 00:00,2023-03-05T00:00:00Z,cash-withdrawal,5,3,2023
transaction,e9ca7a17-2125-4f9c-a614-552269097b06,posted,Non Hooli ATM Withdrawal Fee,-2.5,070c1d68-0ee0-477a-9679-294ea7059939,6989.68,debit,bank-fee,AU00000,1bd6c08e-8457-4a74-bdd9-514df489d27e,05-03-2023 00:00,2023-03-05T00:00:00Z,bank-fee,5,3,2023
transaction,3f224d3d-544b-43d7-b7cf-7c0c342edb84,posted,Wdl ATM WESTPAC IGA BALGOWLAH  BALGOWL        AU,-350,070c1d68-0ee0-477a-9679-294ea7059939,6992.18,debit,cash-withdrawal,AU00000,1bd6c08e-8457-4a74-bdd9-514df489d27e,05-03-2023 00:00,2023-03-05T00:00:00Z,cash-withdrawal,5,3,2023
transaction,81822baa-3400-47fc-8371-2a5b7bffc578,posted,Non Hooli ATM Withdrawal Fee,-2.5,070c1d68-0ee0-477a-9679-294ea7059939,7342.18,debit,bank-fee,AU00000,1bd6c08e-8457-4a74-bdd9-514df489d27e,05-03-2023 00:00,2023-03-05T00:00:00Z,bank-fee,5,3,2023
transaction,74362203-4b97-49fd-b2d7-af8e2ee84cb2,posted,Transfer Platnm Homeloan 346454,-3890,070c1d68-0ee0-477a-9679-294ea7059939,7344.68,debit,payment,AU00000,1bd6c08e-8457-4a74-bdd9-514df489d27e,28-02-2023 00:00,2023-02-28T00:00:00Z,Auxiliary Finance and Investment Services,28,2,2023
transaction,5204bdbd-024a-4220-a667-302df31ccc97,posted,TFR From Transaction to CC Acc 13,-9368.5,070c1d68-0ee0-477a-9679-294ea7059939,11234.68,debit,payment,AU00000,1bd6c08e-8457-4a74-bdd9-514df489d27e,27-02-2023 00:00,2023-02-27T00:00:00Z,Professional and Other Interest Group Services,27,2,2023
transaction,2e6f6ed8-0069-401f-80b1-ad9ce86e59cb,posted,Payroll WFRMS 15439393,17098,070c1d68-0ee0-477a-9679-294ea7059939,20603.18,credit,transfer,AU00000,1bd6c08e-8457-4a74-bdd9-514df489d27e,27-02-2023 00:00,2023-02-27T00:00:00Z,Payroll WFRMS 15439393,27,2,2023
transaction,fe783962-54a6-4741-89bc-160d4c48601a,posted,Manly Maths Tutor Wages,201,070c1d68-0ee0-477a-9679-294ea7059939,3505.18,credit,transfer,AU00000,1bd6c08e-8457-4a74-bdd9-514df489d27e,14-02-2023 00:00,2023-02-14T00:00:00Z,Educational Support Services,14,2,2023
transaction,40875b6b-1c5a-4df7-aec8-07a65a7d2fbf,posted,MANLY WEST SCHOOL,-2530.81,070c1d68-0ee0-477a-9679-294ea7059939,3304.18,debit,payment,AU00000,1bd6c08e-8457-4a74-bdd9-514df489d27e,14-02-2023 00:00,2023-02-14T00:00:00Z,School Education,14,2,2023
transaction,4d633d46-7f31-401c-a5db-b6649deefa9b,posted,MANLY WEST SCHOOL,-101,070c1d68-0ee0-477a-9679-294ea7059939,5834.99,debit,payment,AU00000,1bd6c08e-8457-4a74-bdd9-514df489d27e,14-02-2023 00:00,2023-02-14T00:00:00Z,School Education,14,2,2023
transaction,fe8c63f6-a1e4-4154-95f8-1dec02a99fd3,posted,CTRLINK CARERS Ref: 998R6789201610974V,171,070c1d68-0ee0-477a-9679-294ea7059939,5935.99,credit,transfer,AU00000,1bd6c08e-8457-4a74-bdd9-514df489d27e,14-02-2023 00:00,2023-02-14T00:00:00Z,CTRLINK CARERS Ref: 998R6789201610974V,14,2,2023
transaction,002dad4d-9c8c-4da0-921f-2bc1087f0b1f,posted,CTRLINK CARERS Ref: 998R6789201610974V,35,070c1d68-0ee0-477a-9679-294ea7059939,5764.99,credit,transfer,AU00000,1bd6c08e-8457-4a74-bdd9-514df489d27e,13-02-2023 00:00,2023-02-13T00:00:00Z,CTRLINK CARERS Ref: 998R6789201610974V,13,2,2023
transaction,59403070-bb5b-447b-9cdf-b82c4d136290,posted,TFR Acc14000 TO 12389,-500,070c1d68-0ee0-477a-9679-294ea7059939,5729.99,debit,payment,AU00000,1bd6c08e-8457-4a74-bdd9-514df489d27e,11-02-2023 00:00,2023-02-11T00:00:00Z,Legal and Accounting Services,11,2,2023
transaction,100c5516-ccc1-4383-b660-0972ca7126f9,posted,Wdl ATM Redi ATM CEXP BERKSHIREBerkshire      AU,-100,070c1d68-0ee0-477a-9679-294ea7059939,6229.99,debit,cash-withdrawal,AU00000,1bd6c08e-8457-4a74-bdd9-514df489d27e,10-02-2023 00:00,2023-02-10T00:00:00Z,cash-withdrawal,10,2,2023
